generation,best_cost
0,232.1224422646704
1,231.7689488004644
2,229.905986628009
3,228.55593384174304
4,227.68919005965216
5,225.86349120653892
6,224.817215293661
7,223.70370969271013
8,222.55104416382179
9,221.82347114954783
10,220.8582595248914
11,220.85825952489137
12,220.84161415091697
13,220.84161415091694
14,220.84161415091694
15,220.84161415091694
16,220.84161415091694
17,220.84161415091694
18,220.84161415091694
19,220.84161415091694
20,220.84161415091694
21,220.84161415091694
22,220.84161415091694
23,220.84161415091694
24,220.84161415091694
25,220.84161415091694
26,220.84161415091694
27,220.84161415091694
28,220.84161415091694
29,220.84161415091694
30,220.84161415091694
31,220.84161415091694
32,220.84161415091694
33,220.84161415091694
34,220.84161415091694
35,220.84161415091694
36,220.84161415091694
37,220.84161415091694
38,220.84161415091694
39,220.84161415091694
40,220.84161415091694
41,220.84161415091694
42,220.84161415091694
43,220.84161415091694
44,220.84161415091694
45,220.84161415091694
46,220.84161415091694
47,220.84161415091694
48,220.84161415091694
49,220.84161415091694
