generation,evaluation_cost
0,89217528.98134749
0,89831975.98899253
0,89239400.74618663
0,92268511.47838677
0,89558775.19115005
0,91984365.84018314
0,90195784.13159265
0,88310382.93689643
0,93491575.28927933
0,90597489.00552575
0,92902123.17323834
0,91754664.924382
0,92741664.07331006
0,90504778.20534928
0,94148029.4454581
0,94457885.26630674
0,88207905.61537343
0,92246069.6017932
1,90308677.15533127
1,88207905.61537343
1,89239400.74618663
1,88192885.1332872
1,91480752.09704807
1,89091829.16314529
1,88651407.70355567
1,91040035.84814039
1,90887227.11366953
1,87795764.91328727
1,88207905.61537343
1,90580032.73405547
1,92488440.53582212
1,91244302.71079929
1,87750736.66396965
1,90195784.13159265
1,89831975.98899253
1,88607624.45197998
2,87750736.66396965
2,88730380.64456016
2,88207905.61537343
2,87566003.32839137
2,87733519.21835709
2,88207905.61537343
2,88207905.61537343
2,88948464.38769859
2,88207905.61537343
2,89749659.77787633
2,87824724.88304603
2,87750736.66396965
2,89091829.16314529
2,87795764.91328727
2,87115354.59928003
2,87733519.21835709
2,88380698.71720204
2,88706174.31142654
3,87589740.99629632
3,87750736.66396965
3,87750736.66396965
3,87115354.59928003
3,88160374.09183042
3,88207905.61537343
3,88182373.75860777
3,87795764.91328727
3,87733519.21835709
3,87714007.95575592
3,87458345.2411791
3,87733519.21835709
3,87795764.91328727
3,88465130.78279465
3,87750736.66396965
3,87733519.21835709
3,87718815.49105486
3,87750736.66396965
4,87683549.06522378
4,89119158.42912896
4,87718815.49105486
4,87115354.59928003
4,86806485.85985714
4,87750380.15317038
4,88830176.49959928
4,89125198.8539156
4,88825485.541291
4,87460270.41276494
4,87733519.21835709
4,88593271.50790827
4,87115354.59928003
4,87651206.07111482
4,89579843.24204652
4,87504402.5726785
4,88630217.25716123
4,87566003.32839137
5,87583008.90283534
5,87115354.59928003
5,87115354.59928003
5,87733519.21835709
5,88291693.93931873
5,87460270.41276494
5,88399989.63260174
5,86495606.9258422
5,87566003.32839137
5,88493403.7083399
5,87115354.59928003
5,87115354.59928003
5,86806485.85985714
5,86456499.67030618
5,87115354.59928003
5,87408005.61697416
5,87620102.42583784
5,87115354.59928003
6,86295412.47177207
6,87115354.59928003
6,86603837.24976222
6,86999205.13453987
6,86751999.89561602
6,88117421.13766098
6,87115354.59928003
6,87115354.59928003
6,86456499.67030618
6,87158466.06091118
6,87059624.45624208
6,88748476.7142431
6,86162387.9981729
6,86458142.29843351
6,87161411.93077941
6,88848350.77699758
6,87310456.85852146
6,87069573.95158717
7,86366969.05952999
7,86458142.29843351
7,86456499.67030618
7,86637179.44145297
7,86456499.67030618
7,87227186.40975416
7,87451410.79052018
7,86263715.06834175
7,86295412.47177207
7,86889358.79652731
7,86275181.82621549
7,86345682.91243832
7,86162387.9981729
7,86226285.52327709
7,86439657.0155432
7,86519957.82283731
7,86305550.17834586
7,86456499.67030618
8,85816944.01033771
8,86436321.14869344
8,86162387.9981729
8,86366969.05952999
8,85990153.35216832
8,86295412.47177207
8,86669553.31248045
8,86268647.6027701
8,86305550.17834586
8,85909820.31573969
8,85937422.18184412
8,86269476.81847313
8,86486730.21212187
8,86147148.6397666
8,86162387.9981729
8,85966236.11458687
8,86244650.02524786
8,86642169.50814685
9,86456234.87273236
9,85816944.01033771
9,85998439.77737437
9,86027410.52117775
9,86431589.97325087
9,85966236.11458687
9,86274677.24947885
9,86162387.9981729
9,86077446.25287537
9,85990153.35216832
9,85937422.18184412
9,86162387.9981729
9,86244650.02524786
9,86162387.9981729
9,86011561.81576324
9,86244650.02524786
9,85816944.01033771
9,86436321.14869344
10,85851657.66226992
10,86048620.19109245
10,85966236.11458687
10,85966236.11458687
10,85816944.01033771
10,85932080.50359985
10,85999585.17455728
10,86260146.73408796
10,86217216.5254132
10,85903344.30445494
10,85816944.01033771
10,85784639.89988671
10,86007251.7970349
10,86303107.0283245
10,86078470.38675663
10,86092091.65432361
10,86284195.72556217
10,85816944.01033771
11,85816944.01033771
11,85816944.01033771
11,85816944.01033771
11,85816944.01033771
11,85932080.50359985
11,85955779.10134606
11,85966236.11458687
11,85443098.50928532
11,85784639.89988671
11,85620637.81614274
11,85816944.01033771
11,85816944.01033771
11,86119821.66158499
11,85901408.28449872
11,86182292.13717225
11,85816944.01033771
11,86161816.68830837
11,86182292.13717225
12,85680767.81960812
12,85443098.50928532
12,86118628.16399348
12,85816944.01033771
12,85431100.69737312
12,85784639.89988671
12,85646463.55640534
12,85503190.1007963
12,85594517.10619497
12,85798468.53397778
12,85797972.95230429
12,85791038.14507255
12,85596900.74875338
12,85777993.52762617
12,85741200.7777728
12,85816944.01033771
12,85992829.62250131
12,85932080.50359985
13,85720169.33297125
13,85957901.42365697
13,85443098.50928532
13,85580982.40032955
13,85503190.1007963
13,85443098.50928532
13,85250603.0937167
13,85505324.98898564
13,85715259.52533224
13,85443098.50928532
13,85443098.50928532
13,85443098.50928532
13,85697190.63014807
13,85777993.52762617
13,85525063.75230084
13,85595562.29088196
13,85553909.627982
13,85571847.77622153
14,85203230.59106328
14,85443098.50928532
14,85303992.71797763
14,85443098.50928532
14,85525063.75230084
14,85424760.85385609
14,85446464.43183072
14,85250603.0937167
14,85443098.50928532
14,85548258.93419872
14,85170458.06878938
14,85530463.43620814
14,85358528.75551902
14,85443098.50928532
14,85443098.50928532
14,85250603.0937167
14,85389708.9803
14,85443098.50928532
15,85149870.54614861
15,85255920.52115737
15,85091480.5305893
15,85385367.99485086
15,85246669.71317719
15,85170458.06878938
15,85339832.92573072
15,85450985.5025904
15,85407772.78961433
15,85203230.59106328
15,85203230.68633892
15,85250603.0937167
15,85358528.75551902
15,85443098.60456099
15,85248650.22648694
15,85623334.92871957
15,85424760.85385609
15,85726201.27545087
16,85169909.89927341
16,85091480.5305893
16,85170458.06878938
16,85243303.79063182
16,85090704.74856602
16,85339832.92573072
16,85506325.96553914
16,85170458.06878938
16,85203230.59106328
16,85547815.65424053
16,85203230.68633892
