generation,best_cost
0,36457.91846237206
1,36457.91846237206
2,36457.91846237206
3,36457.91846237206
4,36457.91846237206
5,36457.91846237206
6,36457.91846237206
7,36457.91846237206
8,36457.91846237206
9,36457.91846237206
10,36457.47641817755
11,36457.47641817755
12,36457.47641817755
13,36457.47641817755
14,36457.47641817755
15,36457.17530406135
16,36457.17530406135
17,36456.96526559777
18,36456.96526559777
19,36456.95175636968
20,36456.581251881944
21,36456.581251881944
22,36456.450040986594
23,36456.371213418366
24,36456.240002523016
25,36456.240002523016
26,36456.0134939974
27,36456.0134939974
28,36455.803455533816
29,36455.803455533816
30,36455.803455533816
31,36455.46173021903
32,36455.46173021903
33,36455.46173021903
34,36455.46173021903
35,36455.46173021903
36,36455.46173021903
37,36455.46173021903
38,36455.46173021903
39,36455.46173021903
40,36455.46173021903
41,36455.46173021903
42,36455.091196827925
43,36454.93796708858
44,36454.93796708858
45,36454.56743369748
46,36454.56743369748
47,36454.56743369748
48,36454.56743369748
49,36454.56743369748
