generation,best_cost
0,230317774.9967235
1,230317774.9967235
2,230317774.9967235
3,230317774.9967235
4,230093063.11885652
5,230093063.11885652
6,229377565.72587603
7,229216404.78418523
8,228991692.90631822
9,228902116.14585182
10,227377535.99357736
11,227377535.99357736
12,227377535.99357736
13,227354749.01017526
14,227156000.80184957
15,227106498.26123852
16,226557424.2593599
17,226276392.55721602
18,226124296.97092637
19,225687261.66435844
20,225687261.66435844
21,225493031.02657306
22,224796850.2972163
23,224796850.2972163
24,224561026.68890604
