generation,best_cost
0,25266.40561851072
1,25266.40561851072
2,25266.40561851072
3,25266.40561851072
4,25266.40561851072
5,24808.821950143913
6,24808.821950143913
7,24808.126649074402
8,24795.210885360306
9,24670.673826838443
10,24511.25372148859
11,24458.907654141996
12,24432.824958099172
13,24412.844488397153
14,24410.24244035925
15,24406.121238237127
16,24406.121238237127
17,24406.110959716858
18,24405.415658647347
19,24405.415658647347
20,24400.128468999996
21,24399.433167930485
22,24398.417109443417
23,24398.417109443417
24,24398.332930561886
25,24397.63762949238
26,24397.63762949238
27,24397.170989744325
28,24397.170989744325
29,24397.170989744325
30,24397.170989744325
31,24397.170989744325
32,24397.170989744325
33,24397.170989744325
34,24397.170989744325
35,24397.170989744325
36,24396.52096570078
37,24396.52096570078
38,24396.52096570078
39,24396.142746932095
40,24396.142746932095
41,24395.38899630524
42,24395.351119384402
43,24395.187970061113
44,24395.008489636126
45,24395.008489636126
46,24394.018123744736
47,24394.018123744736
48,24394.018123744736
49,24393.502092289058
