generation,best_cost
0,105.95052510469816
1,105.80990282008948
2,103.86379138402776
3,103.21006395743792
4,101.41391201735634
5,99.1063536258169
6,97.23503570671349
7,97.23503570671349
8,96.20536227201961
9,95.42457157682503
10,94.718991987045
11,94.71899198704499
12,94.68193317041005
13,94.68062242625363
14,94.68062242625363
15,94.68062242625363
16,94.68062242625363
17,94.68062242625363
18,94.68062242625363
19,94.68062242625363
20,94.68062242625363
21,94.68062242625363
22,94.68062242625363
23,94.68062242625363
24,94.68062242625363
25,94.68062242625363
26,94.68062242625363
27,94.68062242625363
28,94.68062242625363
29,94.68062242625363
30,94.68062242625363
31,94.68062242625363
32,94.68062242625363
33,94.68062242625363
34,94.68062242625363
35,94.68062242625363
36,94.68062242625363
37,94.68062242625363
38,94.68062242625363
39,94.68062242625363
40,94.68062242625363
41,94.68062242625363
42,94.68062242625363
43,94.68062242625363
44,94.68062242625363
45,94.68062242625363
46,94.68062242625363
47,94.68062242625363
48,94.68062242625363
49,94.68062242625363
