generation,best_cost
0,50400.800634209925
1,49607.493688460694
2,48781.74078974743
3,48313.06424781385
4,47781.0275094973
5,47300.15604576543
6,46403.79018889538
7,45206.09972111282
8,44322.85043645482
9,43655.686710794405
10,43403.48364289614
11,43047.12998079569
12,42504.27395075555
13,42348.12310944695
14,42025.377843110466
15,41441.93951283114
16,41097.121730745246
17,40902.00154361685
18,40153.83276601264
19,38972.84444916353
20,38188.27987556614
21,38188.27987556614
22,37824.244526577546
23,37551.687087218845
24,37503.0528166985
25,37273.167694655815
26,36860.55486434108
27,36707.034782268725
28,36648.49370422535
29,36620.693641111706
30,36302.459988371214
31,36243.91891032784
32,36106.17069879478
33,35958.69876844489
34,35434.381084741195
35,35434.381084741195
36,34941.279243093886
37,34941.279243093886
38,34941.279243093886
39,34940.111362782045
40,34809.579183283284
41,34809.579183283284
42,34808.411302971435
43,34807.70572338166
44,34718.32720026061
45,34690.84408284055
46,34660.672324886815
47,34599.59209981788
48,34569.42034186414
49,34569.42034186414
50,34557.974853291424
51,34527.80309533768
52,34527.15307129414
53,34526.69051890453
54,34526.69051890453
55,34526.04049486098
56,33890.54903513683
57,33730.466944535976
58,33730.466944535976
59,33094.975484811825
60,33093.862908378665
61,33093.862908378665
62,33035.86936459412
63,33035.86936459412
64,32897.20890827213
65,32897.20890827213
66,32897.20890827213
67,32896.48133525786
68,32896.48133525786
69,32896.48133525786
70,32896.48133525786
71,32896.48133525786
72,31912.66391072664
73,31912.66391072664
74,31912.66391072664
75,31912.66391072664
76,31912.66391072664
77,31912.66391072664
78,31912.66391072664
79,31912.66391072664
80,31912.66391072664
81,31912.66391072664
82,31912.66391072664
83,31912.66391072664
84,31912.66391072664
85,31912.66391072664
86,31912.66391072664
87,31912.66391072664
88,31912.66391072664
89,31912.66391072664
90,31912.66391072664
91,31912.66391072664
92,31912.66391072664
93,31912.66391072664
94,31912.66391072664
95,31912.66391072664
96,31912.66391072664
97,31912.66391072664
98,31912.66391072664
99,31912.66391072664
