generation,best_cost
0,57580018.86872502
1,57580018.86872502
2,57580018.86872502
3,57580018.86872502
4,57523840.295852095
5,57523840.295852095
6,57344965.385395706
7,57304675.81089574
8,57248497.23802282
9,57226102.81441506
10,56844957.5464195
11,56844957.5464195
12,56844957.5464195
13,56839260.672344394
14,56789573.755674735
15,56777197.54784867
16,56639927.68060705
17,56569670.18827629
18,56531645.110028334
19,56422385.94468536
20,56422385.94468536
21,56373828.58289796
22,56199782.19559823
23,56199782.19559823
24,56140826.18494732
