generation,evaluation_cost
0,67724422.81387606
0,70021759.25182329
0,69296011.56986834
0,70628782.77367362
0,67162587.48670702
0,71365730.96135458
0,69828002.0178936
0,67361219.07458478
0,70195770.20405985
0,67408988.9389116
0,69329052.55838567
0,69585223.64984028
0,67332474.57939935
0,69537965.02024195
0,68609022.28637698
0,68875317.39520988
0,67680462.01586491
0,70283015.6452857
0,69899649.07280993
0,70021114.1124318
0,69595400.7975674
0,71452119.82661696
0,68241386.91027133
0,73091954.46289021
0,68653618.92656098
0,67713006.3818092
0,64509050.14786129
0,69032203.3132527
0,71049678.7648215
0,67140688.06672895
0,67810754.56089483
0,68566402.4076092
0,71145224.56236154
0,70465421.02030227
0,67238899.90078214
0,67162587.48670702
0,66986622.266977
0,70690587.31136054
0,66687167.75070375
0,67747481.92540403
0,67788228.22083095
0,70415647.85769409
0,68016973.91909416
0,69285004.9801271
0,70487715.12943806
0,67773914.3877641
0,69039132.3155648
0,68973054.56986286
1,66768235.09698599
1,67284033.35883953
1,66973050.02932762
1,70125972.84474759
1,67062934.68105212
1,66745260.10885671
1,67222448.03722177
1,69311551.60248815
1,68070473.25388893
1,62899009.22103126
1,67904513.00131351
1,69287213.80140246
1,66375614.20065113
1,70036809.61305305
1,66986622.266977
1,69855091.39160162
1,67147450.6722262
1,66685102.70527975
1,57590037.08450671
1,63680203.70976723
1,66001186.648530014
1,67162587.48670702
1,67716376.25158149
1,68303372.9828569
1,66801580.457115754
1,67028375.02385686
1,69210735.17064573
1,66846587.598660655
1,67059090.6864439
1,68859347.20485699
1,69786787.79386798
1,67145457.8624315
1,67731819.80386312
1,67275031.71225412
1,69360026.00174943
1,64684075.190609485
1,67788228.22083095
1,69589856.79789503
1,66839757.73850801
1,68088542.65688837
1,67477231.03869638
1,68320166.43826136
1,67714268.3515988
1,68302538.1254589
1,67012105.74386823
1,69093620.47532712
1,68016973.91909416
1,67222212.06317276
2,67055856.76578267
2,66846587.598660655
2,67145457.8624315
2,64074354.54283155
2,66702211.78603115
2,66986622.266977
2,66799173.30344403
2,67149682.10214055
2,67502167.01205431
2,67430896.93856964
2,66804256.49921158
2,64792167.088481724
2,67059090.6864439
2,68215263.05856395
2,66233021.51290367
2,63439808.98248408
2,67222393.06007515
2,64600990.34369315
2,63033351.85014446
2,65224692.539821886
2,66804390.649670035
2,63745799.726948455
2,64665282.56810269
2,67222448.03722177
2,66827153.048914395
2,67792198.28882124
2,65133019.38542919
2,66570705.25589222
2,66892364.990929335
2,65622098.32964346
2,67002963.07370454
2,66308298.49923957
2,66839757.73850801
2,67123982.91328831
2,63647384.232581444
2,67948415.2425737
2,63847202.92825284
2,66827930.93858517
2,67255490.11331184
2,67033919.0500117
2,65549201.809429854
2,66375614.20065113
2,64710160.589445174
2,67204340.24358688
2,66752649.86525294
2,61460639.53544234
2,67963028.97863023
2,67139620.77256812
3,66804256.49921158
3,66484258.91550264
3,65252406.18013482
3,57580018.86872502
3,65198844.67097344
3,67014128.39861397
3,66304950.79988498
3,64233603.163216464
3,64073460.855028845
3,63121780.024286054
3,64177398.78431307
3,64851016.77608081
3,64003435.34849424
3,66046497.34826344
3,66473934.02434938
3,66814888.70543535
3,66846587.598660655
3,61552620.06488774
3,64497380.41979892
3,63831285.424215004
3,63033351.85014446
3,63470254.10684108
3,65593610.89835729
3,65057051.57269958
3,64074354.54283155
3,65196345.78497341
3,64357302.63959472
3,60812420.08612785
3,65547115.27728414
3,63777528.077993244
3,64194742.61847947
3,60698434.69454356
3,64634599.4911178
3,67174347.40438555
3,67398903.60867313
3,66567346.094844975
3,60505515.3153193
3,64815171.43551693
3,66336544.30563143
3,63545700.906798035
3,67420734.55711044
3,61408448.201326795
3,64881180.45652544
3,63812175.733829565
3,57523840.295852095
3,65775556.13614629
3,64705779.2669258
3,66673481.366100684
4,62159743.73559291
4,63993636.45908022
4,64505205.11709674
4,57590037.08450671
4,63042805.19767388
4,61408448.201326795
4,61782148.2951472
4,60812420.08612785
4,60829351.02052155
4,63847201.49840397
4,63746666.6767242
4,60569033.62814883
4,65126976.36299358
4,63921205.456567034
4,61371851.72615036
4,61408448.201326795
4,61800322.3403889
4,64357302.63959472
4,64494694.40434949
4,64088159.88619663
4,64423177.186596215
4,62370350.19449521
4,57580018.86872502
4,61766316.44867993
4,63470254.10684108
4,57634067.89857997
4,60461012.20895669
4,64074042.52257219
