generation,best_cost
0,5334401.927002498
1,5334401.927002498
2,5334401.927002498
3,5334401.927002498
4,5334401.927002498
5,5334401.927002498
6,5334401.927002498
7,5334401.927002498
8,5334401.927002498
9,5334401.927002498
10,5334401.927002498
11,5334401.927002498
12,5334401.927002498
13,5334401.927002498
14,5334401.927002498
15,5334401.927002498
16,5334401.927002498
17,5334401.927002498
18,5327318.499196619
19,5327318.499196619
20,5327318.499196619
21,5327318.499196619
22,5327318.499196619
23,5327318.499196619
24,5327318.499196619
25,5327318.499196619
26,5314883.599738704
27,5314883.599738704
28,5314883.599738704
29,5314883.599738704
30,5314883.599738704
31,5314883.599738704
32,5314883.599738704
33,5314883.599738704
34,5314883.599738704
35,5314883.599738704
36,5314883.599738704
37,5314883.599738704
38,5314883.599738704
39,5314883.599738704
40,5314883.599738704
41,5314883.599738704
42,5314883.599738704
43,5314883.599738704
44,5314883.599738704
45,5314883.599738704
46,5314883.599738704
47,5314883.599738704
48,5314883.599738704
49,5314883.599738704
