generation,best_cost
0,19299.426155223104
1,18927.911713346482
2,18782.13864037235
3,18623.278915679
4,18356.795790516393
5,17837.254192789333
6,17515.53010932794
7,17180.868855026623
8,17180.868855026623
9,16862.56683694797
10,16853.34756028429
11,16647.63435370137
12,16635.278996890887
13,16439.897207981077
14,16330.229917857947
15,16101.783305249586
16,15955.180863585549
17,15663.149716133159
18,15663.149716133159
19,15618.652244364794
20,15516.547274469121
21,15487.722314122875
22,15472.049802700756
23,15472.049802700756
24,15443.22484235451
25,15443.22484235451
26,15404.690081620844
27,15404.690081620844
28,15387.94803607991
29,15354.267599608433
30,15348.967348121627
31,15332.225302580693
32,15298.990793333833
33,15298.990793333833
34,15290.007856609116
35,15289.727358122835
36,15288.829775887609
37,15263.259967081833
38,15262.840784201386
39,15262.840784201386
40,15256.56294831043
41,15256.143765429983
42,15256.143765429983
43,15255.370063683526
44,15099.732324774746
45,15099.732324774746
46,15099.732324774746
47,15098.95862302829
48,15098.95862302829
49,14893.448421228726
50,14893.448421228726
51,14893.448421228726
52,14893.448421228726
53,14892.855894518676
54,14892.855894518676
55,14742.702633876213
56,14742.702633876213
57,14742.702633876213
58,14742.702633876213
59,14742.702633876213
60,14742.702633876213
61,14742.702633876213
62,14742.702633876213
63,14742.702633876213
64,14742.702633876213
65,14742.702633876213
66,14742.702633876213
67,14742.702633876213
68,14742.702633876213
69,14742.702633876213
70,14742.702633876213
71,14742.702633876213
72,14742.702633876213
73,14742.702633876213
74,14742.702633876213
75,14742.702633876213
76,14742.702633876213
77,14742.702633876213
78,14742.702633876213
79,14742.702633876213
80,14742.702633876213
81,14742.702633876213
82,14742.702633876213
83,14742.702633876213
84,14742.702633876213
85,14742.702633876213
86,14742.702633876213
87,14742.702633876213
88,14742.702633876213
89,14742.702633876213
90,14742.702633876213
91,14742.702633876213
92,14742.702633876213
93,14742.702633876213
94,14742.702633876213
95,14742.702633876213
96,14742.702633876213
97,14742.702633876213
98,14742.702633876213
99,14742.702633876213
