generation,best_cost
0,86.3100192765486
1,85.86964991326202
2,84.86888029697698
3,83.20513192888048
4,82.29143372759292
5,81.14236087726864
6,80.34554016256045
7,79.51029491957681
8,78.67051969339856
9,76.67879378321133
10,75.60135759763354
11,74.68021774878454
12,73.17730689154777
13,72.57808302954673
14,71.2450821892589
15,71.2450821892589
16,70.58459293627493
17,70.23577147954745
18,69.78595905074752
19,69.32816613678291
20,69.32816613678291
21,68.92097912419193
22,68.7834189729478
23,68.7834189729478
24,68.74095157626127
25,68.74095157626127
26,68.71086518158775
27,68.71086518158775
28,68.7025647878623
29,68.7025647878623
30,68.7025647878623
31,68.7025647878623
32,68.7025647878623
33,68.7025647878623
34,68.7025647878623
35,68.7025647878623
36,68.7025647878623
37,68.7025647878623
38,68.7025647878623
39,68.7025647878623
40,68.7025647878623
41,68.7025647878623
42,68.7025647878623
43,68.65026318082359
44,68.65026318082359
45,68.65026318082359
46,68.65026318082359
47,68.65026318082359
48,68.60731035906238
49,68.60731035906238
