generation,best_cost
0,192936.23377726728
1,192936.23377726728
2,192936.23377726728
3,192936.23377726728
4,192936.23377726728
5,192936.23377726728
6,192935.34595289934
7,192935.34595289934
8,192935.34595289934
9,192934.46394160975
10,192934.0693978466
11,192934.0693978466
12,192933.64944626085
13,192933.187386557
14,192932.99029677172
15,192932.63786112663
16,192932.42610344425
17,192931.33229912774
18,192931.33229912774
19,192930.4526203637
20,192930.24486757847
21,192929.6328963421
22,192928.90097089004
23,192928.72425774456
24,192927.89184124846
