generation,evaluation_cost
0,196947.67703828754
0,197133.32728982382
0,196960.06093439052
0,196986.66582288087
0,196999.4277427426
0,196780.4008574277
0,196767.64726434211
0,196756.43632513247
0,197054.1934698713
0,196565.73988846745
0,196911.08566139344
0,196608.11615340092
0,196759.09223471757
0,197052.39740455715
0,196637.6315292356
0,196886.75742032778
0,196557.7925995929
0,196662.8096836409
0,196884.22439371803
0,196617.39095138086
0,197181.28509086458
0,197238.11350204522
0,196849.29538765296
0,196887.2378106177
0,197184.01737238723
0,196790.8176996521
0,196712.097592484
0,196673.82394714607
0,196741.0317950473
0,196558.80760605264
0,196921.41000173034
0,197255.50172494375
0,196698.17733813476
0,196642.74908837373
0,197017.32112565462
0,196961.85430937484
0,196986.40887559616
0,196816.51920152275
0,196600.30398868906
0,197165.80308143428
0,197157.10026538424
0,196978.45506238533
0,197027.26512472765
0,196734.81354392692
0,196907.95498574967
0,196988.8998909793
0,196806.80087355178
0,197416.60253489797
1,196362.34927648422
1,196818.57572078737
1,196884.27766170647
1,196573.62914522586
1,196841.27207101433
1,196960.5305883567
1,196977.67852476286
1,196734.81354392692
1,196663.30134455004
1,195738.05599680028
1,196611.11820433202
1,196957.41663075954
1,195545.8390732958
1,196764.22386226797
1,196635.37757423572
1,196660.15946223875
1,196560.70700225906
1,196600.30398868906
1,192961.65291460493
1,195477.36515127792
1,196731.559317681
1,196642.74908837373
1,196928.32403734323
1,197047.59665638756
1,196647.5065058405
1,197069.59976857124
1,197084.05190047502
1,196702.27412469557
1,196496.3903962775
1,196894.12301362315
1,196297.05270536046
1,196637.6315292356
1,196793.38147991244
1,196637.6315292356
1,196692.06302169812
1,196296.78833799373
1,196894.15494840132
1,196886.60871444538
1,196821.99450091936
1,196595.21708907612
1,196662.07540426895
1,196814.58785687177
1,196486.10049701447
1,196816.907848296
1,196484.36221326367
1,196687.7819699904
1,196731.99186920637
1,196771.37537180376
2,196770.91155170312
2,196468.32702340907
2,196554.35411170372
2,195060.54617087354
2,196628.48541718148
2,196558.02335431782
2,196759.42073058547
2,196560.9140297228
2,196584.5638087045
2,196817.39387086374
2,196647.5065058405
2,196341.21971809736
2,196491.9351918149
2,196555.97872741433
2,195545.8390732958
2,196122.86922406993
2,196780.28505791212
2,196496.6307870742
2,195738.05599680028
2,195549.67734092998
2,196588.84334377435
2,195834.91222242583
2,196500.70807980304
2,196731.39682169934
2,196484.9338365686
2,196690.89870315645
2,196291.5650967738
2,196676.9554396581
2,196494.54707250698
2,196720.12257107478
2,196675.45959457985
2,195709.6633256075
2,196702.27412469557
2,196612.8708044008
2,195449.48132872017
2,196664.64224819592
2,195477.36515127792
2,196449.11406935658
2,196509.6665184683
2,196489.52932137233
2,196575.17551777858
2,195545.8390732958
2,196311.13369062025
2,196652.6674807257
2,196623.2629193054
2,194591.55698755814
2,196610.36079176655
2,196634.93781960642
3,196486.9359164402
3,196653.4999613499
3,196278.24542470975
3,192936.23377726728
3,195551.80911041566
3,196566.61645873796
3,195562.48117000773
3,195086.2178883166
3,195999.5873447112
3,195738.27884493454
3,195939.01742127526
3,195516.13994179296
3,195477.87090390077
3,196223.6902667729
3,196068.50337143673
3,196489.72426499776
3,196467.68709918094
3,194579.9436875138
3,196623.94730230825
3,195060.04111350866
3,195477.36515127792
3,195428.84188726763
3,195501.47074620734
3,196371.84252154324
3,195006.2865221601
3,195549.67734092998
3,196029.56123303744
3,194378.1257077461
3,196574.58483430478
3,195829.1329724283
3,196240.6742312155
3,194733.2375679331
3,196496.6307870742
3,196489.52932137233
3,196518.99906023624
3,196600.37642615603
3,194919.27308064798
3,195987.82573043968
3,196593.6134159078
3,195497.49224805034
3,196326.74215802562
3,194594.033186372
3,196654.98040400376
3,195484.2411266439
3,192940.46454814528
3,196046.74920789615
3,196302.63021880208
3,196209.45315913943
4,195258.97069248394
4,195487.38942042165
4,196041.9306263573
4,192961.65291460493
4,195436.1451461136
