generation,best_cost
0,385105.6414957659
1,385105.6414957659
2,385105.6414957659
3,385105.6414957659
4,385105.6414957659
5,385105.6414957659
6,385104.4218070689
7,385104.4218070689
8,385104.4218070689
9,385104.4218070689
10,385104.4218070689
11,385104.00432308734
12,385104.00432308734
13,385103.6567846677
14,385103.55751088
15,385103.0883783232
16,385102.7166111924
17,385102.26979898516
18,385102.2504689444
19,385101.58486632403
20,385101.58486632403
21,385100.8887612947
22,385100.59473475063
23,385100.5024715064
24,385099.87929968064
