generation,evaluation_cost
0,113.13912188469143
0,107.66106709127504
0,114.66373389138376
0,112.28186281627802
0,113.90877008539222
0,112.28065097858018
0,112.2032222983509
0,113.52370503395741
0,114.85005280917501
0,112.27506995213815
0,114.92390701577185
0,111.24091257361287
0,110.46403490732476
0,113.20901850698645
0,112.00218863436692
0,114.26087353079518
0,114.69845219503881
0,111.9882919300721
0,113.3366771378042
0,114.535807652967
0,113.61579237514333
0,110.10762564915022
0,112.36613402409999
0,111.86575680634282
0,115.24867475142078
0,113.99035479889037
0,114.38270380870284
0,110.15422196618304
0,109.9714041267256
0,115.98402333006958
0,112.31352843283612
0,112.57305971374507
0,113.29183307843495
0,114.4939737059372
0,112.6120748246439
0,107.68854980544202
0,114.4392064172226
0,108.86095572696485
0,113.44197279018846
0,112.84369994303039
0,115.56274443203898
0,111.9582219074385
0,111.87732437341867
0,108.94021762610242
0,112.81076105829088
0,112.97611413595834
0,112.12429131825235
0,112.1953164382169
0,111.42537345347309
0,114.22565021081792
0,113.0887672493136
0,117.21296516192672
0,111.6175019948904
0,115.02963565041888
0,112.04803185348311
0,111.91785660896308
0,114.85084230852328
0,112.50301721698501
0,114.55656832750275
0,112.83812509902434
0,114.14719356555534
0,111.29750643939609
0,111.62409652797818
0,110.7780214099762
0,112.85603482235291
0,113.717676680016
0,114.55157228957503
0,115.24458347274968
0,114.66373389138376
0,114.26087353079518
0,113.82401253600402
0,114.84425243677954
0,114.99862555001616
0,111.36090638333023
0,115.28839164322392
0,112.40014313247565
0,115.49275033476324
0,113.79845932206271
0,110.79051106724266
0,117.49781496197348
0,113.73155823328739
0,112.26756525696688
0,114.01209114874949
0,112.51543809418995
0,112.56857093136955
0,109.76135212830987
0,112.07981040063714
0,110.4522895373296
0,112.7825455466213
0,109.98168461548512
0,109.84035221892184
0,113.02071946722386
0,111.73272176695603
0,110.15441276286668
0,115.40621139654823
1,113.85466339062187
1,111.38870687620083
1,110.23621869557384
1,106.39818027174569
1,107.4638188295233
1,112.1711114186271
1,109.77032060231642
1,113.07834168820516
1,112.06485038715681
1,108.3783727595211
1,110.27006048767343
1,108.86095572696485
1,108.61848944123544
1,109.72192018918592
1,113.25817331111374
1,111.26246059709992
1,111.70687748511288
1,111.15237714270626
1,110.30668930852616
1,108.19581764769501
1,111.73449899751833
1,109.63611050979243
1,108.04568526259233
1,110.76458231612916
1,112.26346769956494
1,112.51974201651659
1,109.35193639889341
1,113.30189777872299
1,109.79656586633948
1,111.49370748344533
1,113.15831455040538
1,110.31658375024452
1,111.79593470533025
1,109.99228470267197
1,112.43476077761092
1,114.57350801034522
1,111.3868700139105
1,109.78654425068517
1,111.12805355226894
1,111.88293874446724
1,109.58322863047228
1,112.29820006523241
1,112.93265156360714
1,111.17891805933131
1,108.86166794705778
1,109.31760689604842
1,111.65012343039211
1,109.91951964755016
1,112.33208062863353
1,113.79791858005503
1,108.88288381354768
1,111.76973837000773
1,109.63862394018977
1,107.40399109861788
1,110.96584229960922
1,106.95295316215133
1,111.41159007172284
1,114.32614098038891
1,111.39892683160977
1,113.12483108051885
1,109.26799005415916
1,114.70050981204217
1,111.91785660896308
1,112.56857093136955
1,113.54568496874212
1,112.27538994867366
1,113.20901850698645
1,109.84035221892184
1,112.71717197262551
1,112.63021515737054
1,111.31267098482617
1,111.70042087153975
1,111.13845545342663
1,112.1771866226384
1,111.91785660896308
1,108.86095572696485
1,108.76138354158233
1,109.79957906753309
1,112.04803185348311
1,111.9582219074385
1,108.68884641437309
1,110.33879586251835
1,112.6120748246439
1,110.6229244964819
1,109.32083108184572
1,113.11438047077309
1,109.84035221892184
1,112.33555652106828
1,109.13987495360284
1,109.98709348741015
1,110.08033185266447
1,108.38039021227503
1,110.29985415571122
1,112.46711337810613
1,109.97807442780353
2,106.82080691316118
2,108.94612027522487
2,109.31760689604842
2,109.60792246764052
2,107.30637445662958
2,108.68402209121417
2,107.8824764213183
2,108.86095572696485
2,108.14183116400629
2,109.84035221892184
2,109.75047493747172
2,106.16911806652658
2,108.4857861670024
2,108.85203779343
2,111.42859293900686
2,110.76280181428946
2,109.16533035038894
2,109.30719646389272
2,106.5007672514773
2,112.56207233151156
