generation,best_cost
0,299.5362181560712
1,299.5362181560712
2,299.5362181560712
3,299.5362181560712
4,297.5880334052456
5,296.11604819644174
6,294.507591723901
7,293.40674774329983
8,292.61208244717716
9,292.43681594754946
10,290.89898340864255
11,290.89898340864255
12,289.2900980939459
13,288.06387738929
14,288.06387738929
15,287.45688666050626
16,287.45688666050626
17,287.1081396935525
18,287.1081396935525
19,287.1081396935525
20,286.58666277643056
21,286.41139627680286
22,286.41139627680286
23,286.41139627680286
24,286.41139627680286
25,286.25295971803
26,286.25295971803
27,286.20610800033984
28,286.20610800033984
29,286.20610800033984
30,286.20610800033984
31,286.20610800033984
32,286.20610800033984
33,285.93435085765924
34,285.93435085765924
35,285.93435085765924
36,285.93435085765924
37,285.93435085765924
38,285.93435085765924
39,285.7087880271825
40,285.7087880271825
41,285.42765191279295
42,285.42765191279295
43,285.2020890823162
44,285.2020890823162
45,285.2020890823162
46,285.2020890823162
47,285.2020890823162
48,285.2020890823162
49,285.2020890823162
