generation,best_cost
0,37545927.70213473
1,37545927.70213473
2,37545927.70213473
3,37545927.70213473
4,37545927.70213473
5,37545927.70213473
6,37534346.480579294
7,37454515.70606257
8,37454515.70606257
9,37447479.83660324
10,37378792.984143294
11,37378792.984143294
12,37374325.83650532
13,37317086.40222051
14,37296984.964470714
15,37237195.46717321
16,37078507.2807669
17,37053648.13868942
18,37032017.73919447
19,36935104.444532685
20,36935104.444532685
21,36781080.4384708
22,36781080.4384708
23,36752358.00062235
24,36718780.154270835
