generation,evaluation_cost
0,24499292.95355718
0,23297601.666459527
0,24069860.459378265
0,24192924.77246801
0,25139260.162946723
0,26001626.59535616
0,25019111.210891217
0,27688696.89838201
0,24735586.44349341
0,25123644.793656938
0,24412059.39729054
0,23868968.739436567
0,24445349.009845242
0,22785203.8782323
0,23318951.334462333
0,26058772.938552704
0,23737261.03117598
0,24084596.69265043
0,23199235.601892382
0,25513704.871652473
0,24816009.733190242
0,24309043.86028208
0,25092772.731567647
0,21727989.154374048
0,27225478.471324157
0,24258316.908342782
0,28881523.99826942
0,27507486.614198465
0,26846521.601207763
0,26310621.412461337
0,26237325.34486389
0,25192464.000911836
0,23567827.141133834
0,25249262.854989715
0,24416577.914764203
0,24149343.28770297
0,24209787.160595916
0,27073737.312415507
0,23139211.679120008
0,23670283.201779436
0,22560881.35307963
0,27774530.49301549
0,26929702.213900615
0,25534332.97040057
0,25351467.682175856
0,23525917.594015375
0,24599083.829748232
0,25585991.545174163
0,26484607.022881344
0,23699087.15229417
0,23707366.53995522
0,23842536.065680474
0,23690082.82953681
0,24066918.09354619
0,27619322.984106936
0,26554330.072778177
0,23991460.956284408
0,23120190.431342345
0,27896566.525027182
0,24334960.919585574
0,24332150.875957966
0,27012198.064810913
0,24037205.17723854
0,23287156.220503293
0,24230663.171703637
0,24706134.42838353
0,26836658.094620798
0,23120190.431342345
0,25556780.542114884
0,25092772.731567647
0,25095955.06372959
0,23781700.231516555
0,25453840.932836823
0,23002011.290019363
0,23693398.47352547
0,23363111.222458098
0,22097846.004877273
0,24654862.06247873
0,26449822.485713013
0,23319610.01042963
0,27250492.648330282
0,28320798.747048896
0,24629242.142137706
0,24505689.359124586
0,24238841.49465392
0,23622375.548909146
0,24908988.47895368
0,25432024.760443307
0,26919847.56179805
0,25659951.35421106
0,25376726.39344121
0,23834155.361934736
0,23769803.784027316
0,24941305.292716086
0,21941489.056185983
1,27233528.11871574
1,24599083.829748232
1,23260596.420817282
1,23855621.8640423
1,26234904.487108223
1,23044302.477167487
1,25376726.39344121
1,23737462.94303404
1,28889402.974586017
1,24136331.77663935
1,23849821.6148468
1,24250501.67585827
1,23200220.979303055
1,23991460.956284408
1,22509805.22557978
1,21716937.76065709
1,23842536.065680474
1,23287156.220503293
1,22976771.36198593
1,23199235.601892382
1,32366689.375744417
1,26001626.59535616
1,20996151.00932123
1,22954389.735620134
1,23305785.768497836
1,24201194.969626304
1,24908988.47895368
1,24432095.152749423
1,25980136.737065896
1,23363111.222458098
1,23602204.886725727
1,23298207.61422025
1,23731864.22303691
1,24721187.207568828
1,23576116.726244446
1,23785096.55674244
1,23416489.744448006
1,22823159.56956689
1,22807780.002920583
1,24238841.49465392
1,24258316.908342782
1,29780439.96554777
1,21727989.154374048
1,23319610.01042963
1,23814092.48553585
1,24416577.914764203
1,24311190.142805044
1,24985302.39747669
1,23792913.43774479
1,23569420.86849253
1,23152328.47953531
1,20296793.711431686
1,21619688.996595442
1,23139211.679120008
1,24192924.77246801
1,23384118.033079658
1,25249262.854989715
1,23693398.47352547
1,24869945.03946513
1,22468473.873267464
1,24387157.465073366
1,24706134.42838353
1,23567827.141133834
1,27275631.843415275
1,24276562.201163143
1,21727989.154374048
1,22785203.8782323
1,23313105.66823901
1,25417961.766636852
1,23754087.459698983
1,24209787.160595916
1,23969449.095109224
1,29625598.15114684
1,23430837.365849588
1,23670283.201779436
1,24378350.637009695
1,23089107.420308415
1,23816670.675427124
1,23319610.01042963
1,24553573.70743179
1,28704280.580677144
1,26921361.654200953
1,24411513.13084245
1,25077543.889959402
1,22646856.278192934
1,24072698.705567554
1,22843130.83466987
1,23835783.085840255
1,25786511.94723545
1,23287156.220503293
1,27462916.065634668
1,22751169.098432463
1,25249978.65937019
1,25854921.726020224
1,22939344.67717627
2,20936171.75790165
2,22940451.587896615
2,23661329.548165843
2,23737871.356955804
2,25062166.03058261
2,24211463.41659255
2,20700796.37997745
2,22324142.48598472
2,21727989.154374048
2,22954389.735620134
2,23319610.01042963
2,24214109.738867227
2,20098322.601300623
2,26466286.88329986
2,24114502.822738934
2,23424843.101010732
2,24394694.064800113
2,23707867.567506824
2,23722528.4567801
2,23513116.86776835
2,23228585.068045355
2,20343688.834156923
2,23551317.48541599
2,21072721.698088344
2,23074214.29260598
2,25319986.73989259
2,21607233.218461946
2,22479447.89706846
2,21827781.580189444
2,21855311.551710904
2,23333925.105575383
2,24543149.59242136
2,23737462.94303404
2,22876710.357307997
2,24703071.21165957
2,22540163.127498813
2,20296793.711431686
2,23737462.94303404
2,23260596.420817282
2,21826417.98877574
2,21727989.154374048
2,21629483.344375253
2,19518140.838738702
2,23992865.847000726
2,21966758.08239762
2,23230453.37194492
2,23953849.85386493
2,21619688.996595442
2,24118313.246751025
2,21894738.214827634
2,23569420.86849253
2,20296793.711431686
2,23632314.390956644
2,23438191.21831346
2,22646856.278192934
2,21565350.969047252
2,22911850.22896688
2,23569420.86849253
2,23384118.033079658
2,21025357.583190456
2,24375409.13293309
2,22751169.098432463
2,23572920.026228737
2,22954389.735620134
2,26974903.207721416
2,23630719.97183229
2,21941489.056185983
2,23197554.10367895
2,23430399.450810492
2,21995313.612607177
2,22560245.175884604
2,21699636.678650912
2,27340142.810186826
2,23590793.464165285
2,21845714.20631715
2,26108238.12601973
2,23525259.338412873
2,23321096.37704697
2,21039571.051326282
2,24020465.497334134
2,23287156.220503293
2,23780266.98080116
2,23089107.420308415
2,23582094.847660325
2,23152328.47953531
2,23044302.477167487
2,22852034.460669424
2,23567827.141133834
2,25153734.300726168
2,23939285.69626354
2,23255737.469136707
2,21858753.519299973
2,22852132.67164634
2,20296793.711431686
2,21904116.8004658
3,21672858.91720428
3,21080998.295551367
3,26128534.46511197
3,21717015.4606327
3,22701345.345092867
3,22132465.982450426
3,22345888.76964157
3,23324213.26060268
3,22020441.06333396
3,23737462.94303404
3,25008112.358670995
