generation,best_cost
0,21037977.323967587
1,21037977.323967587
2,20296793.711431686
3,19518140.838738702
4,19172224.96667761
5,18963008.843631405
6,18804203.265284617
7,17977221.46262325
8,17895183.612137403
9,17895183.612137403
10,17654969.030711617
11,17384081.428593848
12,17319190.81351896
13,16956575.720201835
14,16956575.720201835
15,16783025.298841953
16,16774387.050549302
17,16774387.050549302
18,16741882.565014467
19,16685548.919002606
20,16587897.249285432
21,16507054.217070742
22,16367021.145742277
23,16331114.242594266
24,16236190.06229285
25,16236190.06229285
26,16236190.032309493
27,16207498.216060607
28,16076667.10262782
29,16009822.665968372
30,16009822.665968372
31,15989606.306683898
32,15989606.306683898
33,15989606.306683898
34,15989606.276700541
35,15987861.213414975
36,15886524.542701839
37,15886524.542701839
38,15886524.542701839
39,15884779.479416272
40,15884779.479416272
41,15884779.479416272
42,15884779.479416272
43,15884779.479416272
44,15884779.479416272
45,15884779.479416272
46,15884779.479416272
47,15884779.479416272
48,15884779.479416272
49,15884779.479416272
