generation,best_cost
0,390028.7212628892
1,390028.7212628892
2,390027.66757286695
3,390027.66757286695
4,390027.66757286695
5,390027.66757286695
6,390027.01628233335
7,390027.01628233335
8,390027.01628233335
9,390026.2532527087
10,390025.19956268644
11,390024.3252890074
12,390024.3252890074
13,390023.9450175634
14,390022.90124630556
15,390022.161475337
16,390021.60130290774
17,390020.93004083156
18,390020.59446183994
19,390020.1163118481
20,390019.1139533389
21,390017.72874993103
22,390017.72874993103
23,390017.58215766447
24,390017.058443586
