generation,evaluation_cost
0,26114358.86224256
0,26574390.662269536
0,26621778.057279438
0,25431480.293872822
0,25859958.93717258
0,25879170.591397002
0,26697482.310022056
0,25431480.293872822
0,26960456.491077747
0,26103173.313756943
0,25730551.010536462
0,29897183.135692496
0,26758212.617911205
0,24117004.347269617
0,24771562.02430055
0,26539070.376212843
0,26028505.870388217
0,26258474.746698532
0,25886600.639267426
0,24283901.39885309
0,27709433.79978102
0,25990994.40636641
0,26445631.086341683
0,28512677.54902978
0,25771110.3306228
0,26455365.14967331
0,24918587.04958964
0,26673463.29109839
0,26820220.490750115
0,27101739.21216425
0,24498558.671390668
0,25693899.707602337
0,27242526.521498177
0,23769315.17753424
0,26352214.18086368
0,27940994.4450705
0,24771562.02430055
0,27874781.61938163
0,26445631.086341683
0,25792872.942457527
0,25909778.525467385
0,26019149.20542918
0,26996919.675592516
0,24117004.347269617
0,24771562.02430055
0,25216543.64579592
0,25735127.80298282
0,27446060.920408774
0,24284219.862781797
0,26077233.339980863
0,28686678.80867426
0,26862287.36433838
0,25580266.523431912
0,25350381.123551223
0,27062069.282481235
0,24978258.38951864
0,26243081.4266684
0,25643852.71406017
0,24758336.082545165
0,26576132.668371845
0,24596425.916441463
0,27846261.05919175
0,26423708.554205317
0,23636924.491354357
0,25431480.293872822
0,27067710.978730552
0,26539070.376212843
0,25395252.415965453
0,26996919.675592516
0,26339006.789285883
0,26820071.418768276
0,23677201.92887718
0,25295949.036064617
0,26758212.617911205
0,26515306.046182133
0,28637697.255258277
0,27174620.41524461
0,25104118.983956445
0,24985186.644975808
0,26146039.535898548
0,28590258.25480191
0,25431480.293872822
0,26010474.610191274
0,26934597.228977416
0,28079871.717545375
0,26290115.249965638
0,24996777.448450424
0,24942218.41224893
0,27426633.12756519
0,25431480.293872822
0,26284661.195007794
0,25482673.506461464
0,26539070.376212843
0,25643852.71406017
0,27219496.284556255
1,24957775.569509547
1,24959638.869646538
1,26296143.842702955
1,27295916.731618255
1,25097976.953623965
1,25631435.480756115
1,24978258.38951864
1,24796571.19399622
1,25132254.18449052
1,25431480.293872822
1,24771562.02430055
1,25431480.293872822
1,25864143.06567557
1,24117004.347269617
1,24532928.70273196
1,25643852.71406017
1,26301386.499779798
1,23471940.270835046
1,24529117.677519146
1,25407552.78715412
1,24573886.1580072
1,24284219.862781797
1,27406691.61149732
1,24529117.677519146
1,24771562.02430055
1,26445631.086341683
1,24996777.448450424
1,26339006.789285883
1,26206755.658505287
1,25107724.944206048
1,23588487.375583787
1,23804410.82234235
1,24815078.945436887
1,24376440.964473113
1,24023095.946760777
1,25934186.887773722
1,26495700.259674054
1,24090888.2400406
1,24667789.094574705
1,24498558.671390668
