generation,best_cost
0,21337285.203153502
1,21337285.203153502
2,21337285.203153502
3,21337285.203153502
4,21337285.203153502
5,21337285.203153502
6,21337285.203153502
7,21337285.203153502
8,21301599.83347098
9,21173757.4797464
10,21173757.4797464
11,21170388.151570037
12,21170388.151570037
13,21170388.151570037
14,21170388.151570037
15,21170388.151570037
16,21170388.151570037
17,21170388.151570037
18,21170388.151570037
19,21170388.151570037
20,21170388.151570037
21,21170388.151570037
22,21170388.151570037
23,21170388.151570037
24,21170388.151570037
25,21170388.151570037
26,21170388.151570037
27,21170388.151570037
28,21170388.151570037
29,21170388.151570037
30,21170388.151570037
31,21170388.151570037
32,21170388.151570037
33,21170388.151570037
34,21170388.151570037
35,21170388.151570037
36,21170388.151570037
37,21170388.151570037
38,21170388.151570037
39,21170388.151570037
40,21170388.151570037
41,21170388.151570037
42,21170388.151570037
43,21170388.151570037
44,21170388.151570037
45,21170388.151570037
46,21170388.151570037
47,21170388.151570037
48,21170388.151570037
49,21120649.637666333
