generation,evaluation_cost
0,5537759.519627185
0,5859738.612434024
0,6005589.081453578
0,6029429.146154599
0,5914833.621354456
0,6060134.775765569
0,5525935.825676787
0,5739110.045565136
0,5763892.746449343
0,5873653.468943446
0,4952871.208879579
0,5604489.037721708
0,5689755.0206519645
0,5445626.170356385
0,5504058.432500268
0,6058080.135253077
0,5142250.747044721
0,6152800.523537485
0,5696998.3811309915
0,5683192.2865398815
0,5337541.763547748
0,5805855.305282998
0,5710075.409730322
0,5271756.295412955
0,5752414.890980651
0,6062637.301201152
0,5962143.98939081
0,5647035.979654877
0,5478120.736230337
0,5675024.376711864
0,5291378.0146926455
0,5684639.021025637
0,5628591.293444078
0,5378782.813024234
0,5579713.180702338
0,6125578.103902113
0,5758312.776827307
0,5740749.4448766755
0,5141814.737521429
0,5209568.7408282785
0,5499104.809920589
0,5612246.882277212
0,5776464.4146054685
0,5876024.517619424
0,5957048.984580189
0,5693594.735285556
0,5682929.590726042
0,5936393.614292732
0,5465469.153216366
0,5329033.487533829
0,5445119.879278509
0,5142250.747044721
0,5381046.270977239
0,5394038.779536871
0,5796042.113193597
0,5735208.93542378
0,5609054.99234176
0,5978228.426513662
0,5526424.0056157755
0,5731699.604374404
0,5754232.55608573
0,6074488.2725495305
0,5891324.010934421
0,5314474.761136695
0,5757165.575090988
0,5127104.184539265
0,6147662.618374537
0,5762359.981479416
0,5737891.583881631
0,5436689.164099089
0,5851750.244180427
0,5733745.907082433
0,6334499.249047428
0,5449021.676460183
0,5823818.666627368
0,5636610.031792518
0,5345334.831394239
0,5484602.449442938
0,5301762.8335355865
0,5422740.799813324
0,5528217.321810524
0,5823556.839234348
0,5138080.63875443
0,5754806.918444071
0,5528402.084771806
0,5427132.13716514
0,5674790.157720433
0,5237094.55785455
0,5855258.806435749
0,6272683.088508704
0,5547815.748920231
0,5480098.023743244
0,5344388.175582985
0,5929215.68876564
0,5629568.558441429
1,5651455.639759833
1,5529676.437311232
1,5545575.111216964
1,5287180.699876115
1,5309659.239713232
1,5159303.650272543
1,5573832.711020327
1,5880506.590332699
1,5510444.4200414065
1,5743355.406617938
1,5479668.654978697
1,5775259.732974493
1,5640137.883419438
1,5609054.99234176
1,5509700.874673269
1,5271756.295412955
1,5141814.737521429
1,5421946.213844819
1,5315065.689424665
1,5481129.9360967465
1,5304835.115349555
1,5540444.300279778
1,5165216.761963089
1,5441242.2371012615
1,5399621.591066799
1,5528402.084771806
1,5531739.514567953
1,5391339.477571244
1,5333435.502966268
1,5650420.200265568
1,5317086.11161835
1,5329500.137111162
1,5096150.960157514
1,5360920.401149615
1,5060936.465308925
1,5671409.466731669
1,5989834.85216144
1,5569108.37613909
1,5547826.68207545
1,5296727.934657121
1,5250326.432698705
1,5676632.168820584
1,5271756.295412955
1,5399879.088986372
1,5240069.91644662
1,5644930.018694613
1,4907202.51085483
1,5684980.070862264
1,5344388.175582985
1,5632470.9054148095
1,5341220.858352057
1,5200935.229939127
1,4966420.324767204
1,5169607.037496582
1,5696739.759199091
1,5134201.0267837
1,5374281.363162278
1,5659167.611723631
1,5958000.56312776
1,5802430.022797611
1,5473292.657551912
1,5127104.184539265
1,5628591.293444078
1,5377405.649518806
1,5472057.379103469
1,5278765.854722441
1,5504270.223242082
1,5521207.082626839
1,5219430.332987327
1,5115932.332278576
1,5647035.979654877
1,5740964.183615818
1,5674622.118754553
1,5345713.943728932
1,5204243.348918735
1,5723601.423602687
1,5176141.233463339
1,5473440.345938244
1,5422740.799813324
1,5513805.391754052
1,5868388.529896353
1,5191350.777522351
1,5127104.184539265
1,5398253.16062613
1,5670143.210499909
1,5108728.243323168
1,5428735.28769892
1,5141814.737521429
1,5458276.81788155
1,5306862.191979724
1,5902068.550827968
1,5398120.055212286
1,5368858.497990471
1,5733538.281622299
1,5156720.59811677
2,4994146.8806076115
2,5657882.7391812
2,5381326.708569396
2,5342514.2473327145
2,5338719.913308305
2,5339547.246958642
2,5277128.926221882
2,5127633.869591783
2,5250491.639993559
2,5123806.212153031
2,5383872.111212354
2,5043665.85618794
2,4948272.223701137
2,5387322.497184895
2,5585309.934538637
2,5292860.184051242
2,5351546.090077876
2,5024726.245297455
2,5241380.402743556
