generation,best_cost
0,3044981.529945133
1,3044981.529945133
2,2989443.794676852
3,2989443.794676852
4,2950600.5541670914
5,2907411.445555919
6,2764381.761963628
7,2744432.3074990497
8,2647824.6766311685
9,2647824.6766311685
10,2647824.6766311685
11,2593635.496650672
12,2579674.3016878427
13,2530647.205659387
14,2530647.205659387
15,2501423.5186878117
16,2500887.9785880847
17,2486946.662204345
18,2480553.858070691
19,2457723.6635016687
20,2457723.6635016687
21,2457708.2136805095
22,2430524.1880421233
23,2430524.1880421233
24,2429819.8857311523
25,2429819.8857311523
26,2426189.39875295
27,2426189.39875295
28,2425485.096441979
29,2425485.096441979
30,2425485.096441979
31,2420494.9611027753
32,2420494.9611027753
33,2420494.9611027753
34,2420494.9611027753
35,2420494.9611027753
36,2420494.9611027753
37,2419965.7329591797
38,2419965.7329591797
39,2419965.7329591797
40,2419965.7329591797
41,2419457.86048144
42,2419457.86048144
43,2419457.86048144
44,2419457.86048144
45,2419457.86048144
46,2419457.86048144
47,2410596.6781955766
48,2410596.6781955766
49,2410596.6781955766
