generation,best_cost
0,242.88710907473222
1,239.44851496456903
2,236.5130001505959
3,223.70926135415715
4,223.70926135415715
5,223.70926135415715
6,219.07592983761302
7,218.55912554139067
8,216.6042529889952
9,214.10483406970937
10,208.71996114641263
11,208.71996114641263
12,207.61014467627552
13,207.61014467627552
14,206.2326261330132
15,203.84736013127397
16,203.14568917378412
17,200.78166114879613
18,197.96943795004114
19,197.25390521451135
20,196.38769519203035
21,196.14034395337887
22,195.61632866203695
23,194.97928091090586
24,194.95823908540694
25,193.68873634581428
26,193.68873634581428
27,193.68328943638303
28,193.44588296025174
29,192.60488172701068
30,192.60488172701068
31,192.10235119673771
32,192.10235119673771
33,191.8573126009361
34,191.8573126009361
35,191.54086338702623
36,191.54086338702623
37,191.54086338702623
38,191.42425503777153
39,191.42425503777153
40,191.27371839675615
41,191.27371839675615
42,191.27371839675615
43,191.27371839675615
44,191.27371839675615
45,191.2022749659403
46,191.2022749659403
47,190.93680675868916
48,190.93680675868916
49,190.8653633278733
