generation,evaluation_cost
0,196775.0955271007
0,196690.6246137796
0,196746.48428012038
0,196745.67200840835
0,196763.7762161614
0,196731.64418669156
0,196685.43576906825
0,196764.71070275517
0,196898.32021649554
0,196757.1443761698
0,196787.7706575463
0,196847.2070548803
0,196754.07619332708
0,197153.23320059667
0,196753.09712556595
0,196713.80036450762
0,197017.6938800335
0,196816.34127781686
0,196718.99073227152
0,196694.45824107432
0,196690.42616618366
0,196747.65259188268
0,196864.36285114355
0,196604.30993207695
0,196740.8547198652
0,196811.4991078881
0,196927.28618715235
0,196954.24573926663
0,196768.8782693431
0,196819.3990080744
0,196888.8621099653
0,196904.66011849546
0,196771.00493122067
0,196744.65223142313
0,196818.1941069573
0,196691.6047515767
0,196877.08831858073
0,196698.51679425547
0,196825.47674569563
0,196764.2028801227
0,196762.72252613914
0,196850.06793252297
0,196884.8692437332
0,196783.22149588802
0,196618.41546597754
0,196824.6526532879
0,196832.18126222343
0,196870.59108627308
1,196675.45395406545
1,196690.6246137796
1,196716.2305783978
1,196641.24651454572
1,196717.07536993074
1,196679.31402660554
1,196736.18566363948
1,196718.99073227152
1,196763.50345410343
1,196316.23071916908
1,196770.62504225026
1,196746.48428012038
1,196205.01987649666
1,196711.08430014452
1,196686.89442945117
1,196694.12484578803
1,196762.938915136
1,196690.6246137796
1,195403.20774944438
1,196386.76084273073
1,196775.91601883146
1,196692.38874099244
1,196684.80466838152
1,196748.6172516415
1,196700.369000686
1,196628.31159209315
1,196723.9570146427
1,196706.30270475766
1,196604.1975305941
1,196729.29224377553
1,196655.9082597878
1,196684.83588247336
1,196731.80179130047
1,196748.60056493714
1,196871.5795184878
1,196695.11475829783
1,196648.03749298115
1,196773.36856820143
1,196647.65805489165
1,196640.55526654166
1,196790.83861533986
1,196690.11522228605
1,196763.3812066793
1,196832.4805626912
1,196601.78983812654
1,196749.931385799
1,196783.22149588802
1,196785.8775304699
2,196634.05101303197
2,196684.83588247336
2,196672.54515750226
2,196180.30228524955
2,196717.25540887943
2,196732.61499799736
2,196647.65805489165
2,196698.34061887758
2,196653.54485697355
2,196716.41916225967
2,196689.47669497627
2,196704.65046517146
2,196604.27466855306
2,196679.7252740541
2,196205.01987649666
2,196509.62894407718
2,196732.69097132352
2,196599.97619198813
2,196316.23071916908
2,196301.6520693239
2,196642.74262727957
2,196402.6722952004
2,196597.31900941362
2,196671.16514659638
2,196706.30270475766
2,196651.01769751878
2,196683.98746598768
2,196707.74489952493
2,196650.79717766875
2,196732.89662246325
2,196637.42727379236
2,196350.5068915224
2,196647.65805489165
2,196649.93355050668
2,196270.8802830366
2,196847.52001441809
2,196384.6714885716
2,196529.91579282176
2,196693.13932068422
2,196601.13209210706
2,196604.1975305941
2,196205.01987649666
2,196726.97329514686
2,196642.97246964945
2,196686.68485595062
2,195864.94124887913
2,196745.91129270408
2,196637.55096680476
3,196597.45730468145
3,196654.8273903214
3,197019.11005751483
3,195402.95810394056
3,196301.65243927715
3,196677.8208114957
3,196211.93322303976
3,196181.49538161597
3,196526.6532033404
3,196291.13923495862
3,196411.3542559055
3,196208.59811706084
3,196384.64009035772
3,196512.17501059297
3,196476.99616308225
3,196601.13209210706
3,196664.86665403124
3,195864.94124887913
3,196673.83132876502
3,196180.30228524955
3,196205.89728969373
3,196205.01987649666
3,196211.28546021818
3,196475.65668519482
3,196180.30228524955
3,196301.6520693239
3,196425.81354075565
3,195875.74930350386
3,196604.1975305941
3,196402.6722952004
3,196710.89448301107
3,196014.12156847026
3,196599.97619198813
3,196603.53978457462
3,196645.19219643512
3,196652.1278956268
3,196264.36499830044
3,196551.4114839849
3,196617.98168126697
3,196258.77590780612
3,196718.40033517347
3,195864.74248617946
3,196579.4304640089
3,196292.33940992499
3,195404.66066691655
3,196466.6518653417
3,196598.6033038553
3,196454.86727364262
4,196234.1788665366
4,196385.1697587115
4,196368.062809823
4,195403.20774944438
4,196204.54584616484
4,195864.74248617946
4,195870.97963401658
4,195875.74930350386
4,196053.78879221078
4,196110.58746422097
4,196127.00804636627
4,195884.4218569034
4,196475.4137500999
4,196491.2973340857
4,196307.24796521533
4,195864.74248617946
4,196089.8754030127
4,196426.1404261833
4,196466.6518653417
4,196185.37679081986
4,196227.6905198666
4,195987.4378950048
4,195402.95810394056
4,195962.39862174043
4,196205.01987649666
4,195413.0635497267
4,196143.9830981395
4,196179.7189840677
4,196305.86345636053
4,196194.95893484214
4,196180.30228524955
4,196441.81309635538
4,196205.01987649666
4,195866.02431808904
4,196205.89728969373
4,195897.3661338122
4,195403.20774944438
4,196208.59811706084
4,195935.15015435853
4,196181.49538161597
4,195404.0285526033
4,196512.14361237903
4,196562.71193231762
4,196314.70617404778
4,196146.07360018586
4,195403.20774944438
4,195886.18572940992
4,195402.95810394056
5,195864.74248617946
5,195402.7114915703
5,195414.82502479295
5,195402.95810394056
5,196194.25508681548
5,195415.3323823297
5,196302.86871258466
5,195663.79341781448
5,195650.3948396356
5,195413.0635497267
5,195871.2324589826
5,196204.55733571222
5,195708.0677209983
5,195895.2635658195
5,195410.92253137034
5,195402.95810394056
5,195404.0314629736
5,195402.95810394056
5,195987.0129795802
5,195659.47245010408
5,196206.45349448593
5,195403.20774944438
5,195864.74248617946
5,196111.30647571466
5,195403.20774944438
5,195649.50800711586
5,195402.95810394056
5,195821.05162513393
5,195403.20774944438
5,196205.89728969373
5,195935.15015435853
5,196058.21997246667
5,195403.20774944438
5,195403.20774944438
5,195402.81333600447
5,195865.67148627486
5,195966.5855904139
5,196094.79953864904
5,195402.35279805955
5,195876.8937652825
5,195935.15015435853
5,195927.13137375057
5,196175.57206105095
5,195767.7161520043
5,195402.48167136937
5,195776.30918828724
5,195740.0734270069
5,195799.01288859057
6,195403.20774944438
6,195402.05098505766
6,195402.35279805955
6,195406.7919974485
6,195663.25105338526
6,195709.8061079844
6,195459.49016360685
6,195577.7944334241
6,195649.50800711586
6,195640.9999812724
6,195419.40660410604
6,195684.31210290623
6,195659.47245010408
6,195403.20774944438
6,195402.95810394056
6,195403.21065981474
6,195427.33200963357
6,195402.95810394056
6,195402.95810394056
6,195403.20774944438
6,195404.0314629736
6,195402.95810394056
6,195417.0889730243
6,195402.95810394056
6,195767.7161520043
6,195538.37112721018
6,195402.95810394056
6,195411.17217687416
6,195415.3323823297
6,195404.7195790067
6,195403.20774944438
6,195663.79341781448
6,195402.35385551644
6,195402.7460799859
6,195402.95810394056
6,195402.35279805955
6,195403.20774944438
6,195740.0734270069
6,195413.52801297468
6,195403.20774944438
6,195799.01288859057
6,195675.64727040986
6,195404.0314629736
6,195402.7114915703
6,195413.0635497267
6,195403.20774944438
6,195403.87205101573
6,195403.20774944438
7,195403.8029697675
7,195402.95810394056
7,195403.42783040498
7,195402.05098505766
7,195401.9435357709
7,195402.55049646055
7,195402.95810394056
7,195402.95810394056
7,195402.95810394056
7,195402.95810394056
7,195401.47227508505
7,195404.0314629736
7,195402.95810394056
7,195402.49862345253
7,195403.21065981474
7,195402.95810394056
7,195410.50615577752
7,195412.248284561
7,195402.35279805955
7,195411.79614056982
7,195408.62547264158
7,195402.95810394056
7,195402.95810394056
7,195415.2594916218
7,195405.90636391446
7,195402.81333600447
7,195402.60244356343
7,195412.8139042229
7,195402.48167136937
7,195402.48167136937
7,195402.23733284147
7,195403.20774944438
7,195402.05098505766
7,195402.31856942122
7,195402.95810394056
7,195402.7460799859
7,195402.95810394056
7,195416.84236065406
7,195404.34848358692
7,195403.20774944438
7,195402.35279805955
7,195401.7132127427
7,195403.20774944438
7,195435.46131733453
7,195404.29842505712
7,195402.7460799859
7,195402.62098568087
7,195675.64727040986
8,195402.7114915703
8,195402.6968133295
8,195404.24974322578
8,195401.89331757158
8,195401.80133955384
8,195402.95810394056
8,195402.40830767094
8,195403.20774944438
8,195402.7460799859
8,195402.05098505766
8,195401.7188874553
8,195402.18211940626
8,195403.20774944438
8,195402.31856942122
8,195402.48167136937
8,195401.7132127427
8,195415.94584567056
8,195405.6123558636
8,195402.48167136937
8,195402.95810394056
8,195408.07401413587
8,195404.13687278933
8,195402.60244356343
8,195401.7188874553
8,195402.41996834197
8,195402.95810394056
8,195405.20910741432
8,195408.819854161
8,195400.8669692041
8,195402.05098505766
8,195409.9451265181
8,195412.92402669942
8,195401.3042404026
8,195403.20774944438
8,195411.66956462836
8,195402.95810394056
8,195402.05098505766
8,195406.6395994674
8,195402.23733284147
8,195401.63355811496
8,195417.6727509494
8,195401.58931559918
8,195402.49862345253
8,195412.248284561
8,195402.95810394056
8,195409.2505404727
8,195402.05098505766
8,195402.04177619572
9,195403.6773923013
9,195400.90982696263
9,195401.80133955384
9,195406.880968245
9,195402.6968133295
9,195412.32697158263
9,195401.7132127427
9,195402.18211940626
9,195402.2113592855
9,195403.20774944438
9,195401.35518197305
9,195400.4666707511
9,195401.3042404026
9,195401.47227508505
9,195401.3042404026
9,195402.31856942122
9,195419.94677412137
9,195401.7132127427
9,195402.05098505766
9,195413.34829098824
9,195405.97770570466
9,195402.00964262043
9,195401.58931559918
9,195403.20774944438
9,195402.95810394056
9,195401.74100740178
