generation,best_cost
0,195402.95810394056
1,195402.95810394056
2,195402.95810394056
3,195402.95810394056
4,195402.95810394056
5,195402.95810394056
6,195402.95810394056
7,195402.95810394056
8,195402.04490845065
9,195401.2644271341
10,195400.60471646048
11,195400.60471646048
12,195400.60471646048
13,195400.29369459665
14,195399.946970441
15,195399.6124397285
16,195399.14280107027
17,195398.7810928167
18,195398.56366081248
19,195397.5254618499
20,195397.47871107855
21,195397.2188175737
22,195396.80843789902
23,195396.15899990776
24,195396.09467727348
