generation,best_cost
0,162.24164183832423
1,161.1631039325822
2,160.68255838890184
3,159.1212579604117
4,158.6826631094684
5,157.26831524652877
6,156.1780849630292
7,154.1742002146332
8,153.37759613643777
9,153.04708314650992
10,152.20845915610232
11,151.50442785117437
12,151.15383677080666
13,149.57944271396664
14,149.3262381861322
15,148.90462057556772
16,148.54916153305123
17,147.30005643936747
18,147.0663851795067
19,146.96558567117336
20,146.49817988151796
21,146.40981233438234
22,145.89408950951224
23,145.89408950951224
24,145.5241317250683
25,145.41096068817816
26,145.15026768419884
27,145.1108096804596
28,145.1108096804596
29,145.0544045198643
30,144.92696372114267
31,144.92696372114267
32,144.77220320738343
33,144.66595243444152
34,144.66595243444152
35,144.66595243444152
36,144.61711991893984
37,144.61711991893984
38,144.61711991893984
39,144.59133276107275
40,144.59133276107275
41,144.59133276107275
42,144.59133276107275
43,144.481823751178
44,144.481823751178
45,144.47799132824838
46,144.47799132824838
47,144.47799132824838
48,144.47799132824838
49,144.47799132824838
